Jurisdiction,Priority Alignment Shortcode,Priority Alignment,Priority Alignment Description,Shared Priorities,Policy Identifier,Policy Description,Elements,Strategy List,Commonalities (Non-Specific),Commonalities (Specific),General Terms of Commonalities (Specific),Jurisdiction Total (Verticle),Policy Total
Coachella,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,LU Policy 14.1,"Establish the City as a regional leader in sustainable development and encourage compact, higher-density development that conserves land resources, protects habitat, supports transit, reduces vehicle trips, improves air quality, conserves energy and water and diversifies the housing stock in the Coachella Valley. ","A, B, D, E","Smart irrigation system, Water meter initiative, Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,RM Policy 4.1.5,Encourage the Imperial Irrigation District to promote water conservation practices and safety in agricultural activities ,"A, D, E","Smart irrigation system, Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,RM Policy 3.1.6,Provide information to agricultural and industrial operations within the City on methods to reduce or eliminate surface water contamination. ,D,Water quality management,Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,LU Policy 8.2.1,Require separate sewage and stormwater drainage systems in new development projects for a 100 year storm. Pretreat storm runoff prior to discharge to state water projects for a central collection and one-point discharge in coordination with the IID. ,"A, D, E","Smart irrigation system, Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,LU Objective 8.2,Minimize impacts associated with the combined sewage and stormwater drainage collection system. ,"D, E","Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Brawley,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,LU Goal 8,Provide Adequate Sewer Collection Infrastructure and Treatment Facilities ,E,Make Sure There Is Adequate Water and Sewage Infrastructure,Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
El Centro,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,COS Goal 2, Maintain and improve the quality of water used by the City and surrounding agricultural areas. ,"D, E","Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
El Centro,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,COS Policy 7.3," Monitor and control agricultural activities within the City, such as pesticide and crop dusting adjacent to residential areas. ","C, D, E","Pest management, Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
El Centro,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,EJ Policy 4.1,"Promote the use of low impact development (LID) techniques where appropriate, such as pervious paving or vegetated infiltration, to reduce potential impacts to water quality from urban runoff. ","D, E","Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
El Centro,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,LU Policy 2.7,"Incorporate sustainable and Smart Growth principles in all new developments and, to the extent possible, when updating existing developments to minimize adverse impacts of build-out on air quality, traffic, open space, water quality, energy, and other resources and optimize walkability, quality of life, and community vitality. ","A, B, D, E","Smart irrigation system, Water meter initiative, Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Westmorland,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,LU Policy 4.1.3,Improve and extend water distribution and sewer line at adequate standards to support new development or expansion within designated commercial and industrial zones. ,"D, E","Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Westmorland,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,CIR Goal #2,Provide an infrastructure system to support existing and future development of the City. ,"D, E","Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Westmorland,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,CIR Objective 2.1,Maintain adequate levels of service for the City's water distribution and wastewater collection systems. ,"A, D, E","Smart irrigation system, Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Westmorland,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,CIR Policy 2.1.1,The City shall maintain the water distribution system to provide adequate fire flows and service to residential and non-residential uses. ,"B, D, E","Water meter initiative, Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Imperial County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,WAT Policy 2.1,The continued viability of the agricultural sector as an important source of surface water for the maintenance of valuable wildlife and recreational resources in the County. Adequate Agricultural Irrigation Water Supply ,E,Make Sure There Is Adequate Water and Sewage Infrastructure,Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Imperial County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,WAT Goal 3,The County will secure the provision of safe and healthful sources and supplies of agricultural irrigation water adequate to assure the continuation of agricultural land uses as established by the County General Plan and the long-term continued availability of this essential resource. ,"A, D, E","Smart irrigation system, Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Imperial County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,WAT Policy 3.1,The efficient and cost-effective utilization of local and imported water resources through the development and implementation of appropriate and separate agricultural and urban use areas. ,E,Make Sure There Is Adequate Water and Sewage Infrastructure,Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Imperial County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,WAT Policy 3.2,"The County of Imperial shall encourage the metering of agricultural and urban water use, including encouraging municipalities to initiate water metering programs to promote more thoughtful and economical use of domestic water. ","A, E","Smart irrigation system, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Imperial County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,WAT Policy 3.3,"The County of Imperial shall monitor, coordinate, and cooperate with State and Federal agencies to assure the protection of the Colorado River resource from over utilization and excessive export to protect urban and agricultural interests and to assure the health of the various biological habitats of the Colorado River. ",D,Water quality management,Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Imperial County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,WAT Policy 3.4,The County of Imperial shall play a proactive role in encouraging the use of efficient and cost-effective methods of water conservation in all aspects of urban development as well as agriculture. ,"D, E","Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Imperial County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,WAT Policy 3.5,"The County of Imperial shall encourage the reclamation and use of agricultural and urban wastewaters in urban landscaping, golf courses, and wildlife habitat areas wherever practical. ","D, E","Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Imperial County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,WAT Policy 3.6,"The County of Imperial shall play a proactive role in encouraging the efficient use and conservation of the Colorado River resource, and in maintaining an adequate allocation for local agricultural use in Imperial Valley. ","D, E","Water quality management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Imperial County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,LU Policy 8.5,"At a minimum, provide adequate sites for solid/liquid and hazardous waste facilities to meet the current and projected demands and be consistent with the County's Solid Waste and Hazardous Waste Management Plans. ","C, E","Pest management, Make Sure There Is Adequate Water and Sewage Infrastructure",Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Imperial County,Agriculture,Sustaining the Agriculture Industry,"The research showed, and community stakeholders said, that the agriculture industry is important to this region, and that its evolution to more sustainable practices was crucial.",Water Quality and Conservation,LU Policy 8.7,"Develop and improve sewer, water, and drainage facilities to meet community needs. ",E,Make Sure There Is Adequate Water and Sewage Infrastructure,Water Resource Management and Conservation / Efficiency and Sustainability,smart irrigation system,Using technology to water crops in the best way to save water,5/7,5
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,INF Policy 1.8,"Support joint-use utility facilities (e.g., water, drainage) with schools, parks, and golf courses to increase efficiency. ",H,Local and Regional Connectivity / Improvements to Accessibility and Connectivity,Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 1.1,"All new transportation projects should be designed and constructed with consideration for all travel modes, ensuring safe, livable, and inviting environments. ","A, F, G, H, I, L","Complete Streets, Multimodal Connections / Public Transit Connections, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Creation of Commercial Centers that Justify Walking and Biking, Reduction in VMT (vehicle miles travel)",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 1.6,Balance pedestrian and cyclist safety concerns with motor vehicle safety and emergency response to ensure the safety of all transportation system users. ,"A, C, D, G, H, L","Complete Streets, Traffic Calming and Safety, Bicycle Facilities, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Reduction in VMT (vehicle miles travel)",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 2.1,"Develop traffic calming policies in targeted neighborhoods, including bike and pedestrian zones, bike boulevards, bulb outs, median islands, speed humps, traffic circles, raised crosswalks, chicanes, chokers, raised intersections, and textured pavements. ","A, C, D, G, H, L","Complete Streets, Traffic Calming and Safety, Bicycle Facilities, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Reduction in VMT (vehicle miles travel)",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 2.2,"Implement traffic calming techniques in residential streets to reduce cut-through traffic and speeding, including clearly marked bike zones, bike boulevards, bulb outs, median islands, speed tables, and textured pavements. ","C, D, G, H, L","Traffic Calming and Safety, Bicycle Facilities, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Reduction in VMT (vehicle miles travel)",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 3.1,"Enhance health outcomes by enhancing pedestrian circulation, enhancing neighborhood connections, providing seating, pedestrian-scaled street lighting, buffering from traffic, and offering amenities for all ages and abilities. ","A, E, G, H, L","Complete Streets, Public Health, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Reduction in VMT (vehicle miles travel)",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 3.2,"Pedestrian improvements in areas with supportive land use patterns and facilities that offer connectivity to other modes of travel, such as bicycling and transit. ","A, D, E, F, G, H, I, L","Complete Streets, Bicycle Facilities, Public Health, Multimodal Connections / Public Transit Connections, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Creation of Commercial Centers that Justify Walking and Biking, Reduction in VMT (vehicle miles travel)",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 3.4,Require that all development or redevelopment projects provide pedestrian connections to the external pedestrian network. ,"A, G, H, L, M","Complete Streets, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Reduction in VMT (vehicle miles travel), Incentives and/or Requirements for Local Business and Developers to Provide Bike and Pedestrian Infrastructure and Facilities",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 3.5,"Require that all new communities, regardless of the presence of gates and sound walls, provide pedestrian connections from external areas into the community. ","G, H, I, L, M","Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Creation of Commercial Centers that Justify Walking and Biking, Reduction in VMT (vehicle miles travel), Incentives and/or Requirements for Local Business and Developers to Provide Bike and Pedestrian Infrastructure and Facilities",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 3.6,"Promote temporary pedestrian-only zones for community events like farmers markets and bike events, aligning with regional bike initiatives. ","D, G, H, L","Bicycle Facilities, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Reduction in VMT (vehicle miles travel)",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 3.7,"Establish bicycle and pedestrian connections within existing residential areas, facilitating access to nearby areas and external facilities. ","D, G, H","Bicycle Facilities, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 3.9,"Promote pedestrian education, encourages bicyclists to understand cycling issues, and supports bike education events to enhance knowledge and skills in cycling and maintenance. ",H,Local and Regional Connectivity / Improvements to Accessibility and Connectivity,Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Goal 4,"A bicycle and multi-use trail network that facilitates bicycling for commuting, school, shopping and recreational trips ","C, H","Traffic Calming and Safety, Local and Regional Connectivity / Improvements to Accessibility and Connectivity",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 4.1,Require that the City provide additional bicycle facilities along all roadways in the City which are built or reconstructed in the City except in those instances in which there is insufficient right-of-way or other physical limitations ,"A, D, G, H, L, M","Complete Streets, Bicycle Facilities, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Reduction in VMT (vehicle miles travel), Incentives and/or Requirements for Local Business and Developers to Provide Bike and Pedestrian Infrastructure and Facilities",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 4.2,Prioritize improvements that address bicycling in existing areas of the City with complementary land use patterns and connections to other modes of travel including walking and transit. ,"A, D, F, G, H, L","Complete Streets, Bicycle Facilities, Multimodal Connections / Public Transit Connections, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Reduction in VMT (vehicle miles travel)",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 4.3,"Require that all new communities, regardless of the presence of gates and sound walls, provide bicycle connections from external areas into the community. ","D, G, H, M","Bicycle Facilities, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Incentives and/or Requirements for Local Business and Developers to Provide Bike and Pedestrian Infrastructure and Facilities",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 4.4,Require that the public and private development in the City provide sufficient bicycle parking. ,"D, G, H, M","Bicycle Facilities, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Incentives and/or Requirements for Local Business and Developers to Provide Bike and Pedestrian Infrastructure and Facilities",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 4.5,"Create a comprehensive citywide wayfinding signage system to direct cyclists to transit facilities, bike routes, civic amenities, and recreational destinations, fostering connections with surrounding cities. ","B, F, G, H","Signage, Multimodal Connections / Public Transit Connections, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 5.1,"Enhance transit service in areas with adequate density and intensity of uses, a mix of appropriate uses, and supportive bicycle/pedestrian networks. ","D, F, G, H, I, L, M","Bicycle Facilities, Multimodal Connections / Public Transit Connections, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Creation of Commercial Centers that Justify Walking and Biking, Reduction in VMT (vehicle miles travel), Incentives and/or Requirements for Local Business and Developers to Provide Bike and Pedestrian Infrastructure and Facilities",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 5.2,"Review bus stop locations for accessibility to key destinations, encourage public art, relocate stops, and prioritize those connected to bicycle and pedestrian facilities. ","F, G, H","Multimodal Connections / Public Transit Connections, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 5.7,Regularly review and improve pedestrian and cyclist access to transit. ,"F, G, H, L, M","Multimodal Connections / Public Transit Connections, Focus on Walkability and Bikeability in New Development Areas, Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Reduction in VMT (vehicle miles travel), Incentives and/or Requirements for Local Business and Developers to Provide Bike and Pedestrian Infrastructure and Facilities",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 7.2,Regularly collect data regarding bicycle and pedestrian travel. ,"H, L","Local and Regional Connectivity / Improvements to Accessibility and Connectivity, Reduction in VMT (vehicle miles travel)",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 7.4,Collaborate with the Riverside County Sherriff and other agencies on an ongoing basis to identify accident locations within the City including unsafe pedestrian and bicycle areas. ,H,Local and Regional Connectivity / Improvements to Accessibility and Connectivity,Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
Coachella,Green Spaces,Enhancing Access to Green Spaces,"The research showed, and community stakeholders said, enhancing access to green spaces, including recreation, was crucial. ",Bicycle and Pedestrian Network,CIR Policy 8.3,Prioritize connections between the City’s bicycle and pedestrian network to regional facilities such as the CV Link and other regional trail facilities. ,"D, F, H","Bicycle Facilities, Multimodal Connections / Public Transit Connections, Local and Regional Connectivity / Improvements to Accessibility and Connectivity",Multimodal Transportation and Connectivity / Urban Design and Accessibility Enhancements,Complete Streets,"Streets that are safe and easy for everyone to use, whether you're walking, biking, driving, or taking public transit",6/7,105
